Date,Open,High,Low,Close,Volume
1980-12-12,0.0986,0.0991,0.0986,0.0986,1609186
1980-12-15,0.0939,0.0939,0.0935,0.0935,603256
1980-12-16,0.0871,0.0871,0.0866,0.0866,362690
1980-12-17,0.0887,0.0892,0.0887,0.0887,296358
1980-12-18,0.0914,0.0918,0.0914,0.0914,252061
1980-12-19,0.0969,0.0974,0.0969,0.0969,166828
1980-12-22,0.1016,0.102,0.1016,0.1016,128094
1980-12-23,0.1059,0.1064,0.1059,0.1059,161079
1980-12-24,0.1115,0.1119,0.1115,0.1115,164676
1980-12-26,0.1218,0.1222,0.1218,0.1218,190654
1980-12-29,0.1235,0.124,0.1235,0.1235,319624
1980-12-30,0.121,0.121,0.1205,0.1205,236312
1980-12-31,0.1175,0.1175,0.117,0.117,122608
1981-01-02,0.1183,0.1191,0.1183,0.1183,74283
1981-01-05,0.1162,0.1162,0.1158,0.1158,122562
1981-01-06,0.111,0.111,0.1106,0.1106,154840
1981-01-07,0.1064,0.1064,0.1059,0.1059,191050
1981-01-08,0.1042,0.1042,0.1037,0.1037,136577
1981-01-09,0.1093,0.1098,0.1093,0.1093,73737
1981-01-12,0.1093,0.1093,0.1085,0.1085,81298
1981-01-13,0.105,0.105,0.1046,0.1046,79026
1981-01-14,0.105,0.1055,0.105,0.105,49005
1981-01-15,0.1072,0.108,0.1072,0.1072,48259
1981-01-16,0.1068,0.1068,0.1063,0.1063,45930
1981-01-19,0.1128,0.1132,0.1128,0.1128,142614
1981-01-20,0.1098,0.1098,0.1093,0.1093,103155
1981-01-21,0.1115,0.1123,0.1115,0.1115,54559
1981-01-22,0.1128,0.1136,0.1128,0.1128,121944
1981-01-23,0.1128,0.1131,0.1123,0.1123,38483
1981-01-26,0.111,0.111,0.1106,0.1106,84486
1981-01-27,0.1106,0.1106,0.1098,0.1098,81293
1981-01-28,0.1068,0.1068,0.1063,0.1063,96546
1981-01-29,0.1029,0.1029,0.1025,0.1025,150600
1981-01-30,0.0977,0.0977,0.0969,0.0969,158452
1981-02-02,0.0918,0.0918,0.0914,0.0914,81560
1981-02-03,0.0947,0.0952,0.0947,0.0947,65668
1981-02-04,0.0982,0.0986,0.0982,0.0982,95587
1981-02-05,0.0982,0.099,0.0982,0.0982,27201
1981-02-06,0.0986,0.0991,0.0986,0.0986,47571
1981-02-09,0.0943,0.0943,0.0935,0.0935,57468
1981-02-10,0.0935,0.0939,0.0935,0.0935,62922
1981-02-11,0.0909,0.0909,0.0904,0.0904,47466
1981-02-12,0.0901,0.0901,0.0896,0.0896,49949
1981-02-13,0.0883,0.0883,0.0874,0.0874,38247
1981-02-17,0.0896,0.0901,0.0896,0.0896,42110
1981-02-18,0.0935,0.0943,0.0935,0.0935,65995
1981-02-19,0.0884,0.0884,0.0879,0.0879,76528
1981-02-20,0.0836,0.0836,0.0832,0.0832,83584
1981-02-23,0.0844,0.0849,0.0844,0.0844,48382
1981-02-24,0.0822,0.0822,0.0814,0.0814,58209
1981-02-25,0.0866,0.0871,0.0866,0.0866,66852
1981-02-26,0.0879,0.0884,0.0879,0.0879,37188
1981-02-27,0.0909,0.0917,0.0909,0.0909,50637
1981-03-02,0.0914,0.0918,0.0914,0.0914,40357
1981-03-03,0.0904,0.0904,0.09,0.09,55444
1981-03-04,0.0896,0.0896,0.0892,0.0892,47020
1981-03-05,0.0892,0.0892,0.0887,0.0887,18431
1981-03-06,0.0887,0.0887,0.0879,0.0879,39801
1981-03-09,0.0815,0.0815,0.0811,0.0811,52580
1981-03-10,0.0776,0.0776,0.0771,0.0771,97297
1981-03-11,0.075,0.075,0.0741,0.0741,102358
1981-03-12,0.0771,0.0776,0.0771,0.0771,203117
1981-03-13,0.0768,0.0768,0.0763,0.0763,793428
1981-03-16,0.0793,0.0802,0.0793,0.0793,127710
1981-03-17,0.0832,0.084,0.0832,0.0832,150037
1981-03-18,0.0884,0.0892,0.0884,0.0884,126758
1981-03-19,0.0879,0.0879,0.0874,0.0874,129641
1981-03-20,0.0884,0.0892,0.0884,0.0884,50119
1981-03-23,0.0917,0.0925,0.0917,0.0917,75495
1981-03-24,0.0918,0.0918,0.0914,0.0914,96627
1981-03-25,0.0904,0.0904,0.0896,0.0896,24206
1981-03-26,0.0884,0.0884,0.0879,0.0879,42106
1981-03-27,0.0853,0.0853,0.0849,0.0849,42027
1981-03-30,0.0849,0.0857,0.0849,0.0849,33960
1981-03-31,0.0849,0.0849,0.0841,0.0841,54888
1981-04-01,0.0836,0.0836,0.0832,0.0832,116849
1981-04-02,0.0904,0.0909,0.0904,0.0904,107681
1981-04-03,0.0909,0.0914,0.0909,0.0909,56553
1981-04-06,0.0896,0.0896,0.0892,0.0892,78213
1981-04-07,0.0888,0.0888,0.0884,0.0884,36667
1981-04-08,0.0926,0.0935,0.0926,0.0926,75310
1981-04-09,0.0943,0.0947,0.0943,0.0943,42850
1981-04-10,0.0956,0.0961,0.0956,0.0956,114812
1981-04-13,0.0956,0.0961,0.0956,0.0956,55101
1981-04-14,0.0956,0.0961,0.0956,0.0956,22824
1981-04-15,0.0914,0.0914,0.0909,0.0909,116795
1981-04-16,0.0862,0.0862,0.0857,0.0857,81860
